ano,sigla_uf,id_municipio,grupo,quantidade_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_morte,quantidade_mortes_policiais_confronto,quantidade_mortes_intervencao_policial,quantidade_mortes_intervencao_policial_civil_em_servico,quantidade_mortes_intervencao_policial_militar_em_servico,quantidade_mortes_intervencao_policial_civil_fora_de_servico,quantidade_mortes_intervencao_policial_militar_fora_de_servico,quantidade_mortes_violentas_intencionais,quantidade_feminicidio,quantidade_lesao_corporal_dolosa_violencia_domestica,quantidade_estupro,quantidade_roubo_veiculos,quantidade_furto_veiculos,quantidade_roubo_furto_veiculos,proporcao_mortes_intenvencao_policial_x_mortes_violentas_intencionais,quantidade_posse_ilegal_arma_de_fogo,quantidade_porte_ilegal_arma_de_fogo,quantidade_posse_ilegal_porte_ilegal_arma_de_fogo,quantidade_trafico_entorpecente,quantidade_posse_uso_entorpecente,quantidade_morte_policiais_civis_confronto_em_servico,quantidade_morte_policiais_militares_confronto_em_servico,quantidade_morte_policiais_civis_fora_de_servico,quantidade_morte_policiais_militares_fora_de_servico
2020,AL,2704302,Grupo 1,362,5,3,1,4,,,,,370,10,519,287,493,755,1248,1.0,194,329,523,1001,40,,,,
2020,CE,2304400,Grupo 1,1216,12,18,5,57,,,,,1303,4,129,554,4969,2591,7560,4.0,172,442,614,2625,799,,,,
2020,DF,5300108,Grupo 1,376,33,5,1,11,,,,,425,17,3276,699,2218,4285,6503,2.0,264,573,1006,2993,5403,,,,
2020,ES,3205309,Grupo 1,67,0,4,0,8,,,,,79,4,155,107,154,669,823,10.0,5,67,72,498,107,,,,
2020,GO,5208707,Grupo 1,233,5,9,1,135,,,,,382,4,1622,458,608,1606,2214,35.0,,300,416,1556,6982,,,,
2020,MA,2111300,Grupo 1,246,16,0,2,18,,,,,280,6,948,187,1023,654,1677,6.0,60,295,355,790,439,,,,
2020,MT,5103403,Grupo 1,80,2,0,1,26,,,,,108,6,1678,291,693,838,1531,24.0,92,108,200,1005,500,,,,
2020,PA,1501402,Grupo 1,292,7,9,4,76,,,,,384,4,2820,490,776,850,1626,19.0,34,40,74,1297,433,,,,
2020,PB,2507507,Grupo 1,238,1,1,1,5,,,,,240,6,913,97,1078,353,1431,2.0,72,252,324,291,127,,,,
2020,PE,2611606,Grupo 1,530,21,2,4,14,,,,,553,8,,428,1981,1303,3284,2.0,90,210,300,2173,595,,,,
2020,PI,2211001,Grupo 1,270,22,1,6,12,,,,,293,6,850,285,2952,1162,4114,4.0,97,313,410,387,123,,,,
2020,PR,4106902,Grupo 1,247,5,5,3,90,,,,,347,8,1949,702,1334,3558,4892,25.0,50,200,250,1915,3374,,,,
2020,SC,4205407,Grupo 1,65,1,1,0,15,,,,,82,4,957,225,124,386,510,18.0,27,43,70,1139,1441,,,,
2020,SE,2800308,Grupo 1,196,6,0,0,44,,,,,246,0,371,144,670,259,929,17.0,,,198,449,162,,,,
2020,BA,2927408,Grupo 2,1151,17,17,5,368,,,,,1553,19,1831,498,4131,930,5061,23.0,42,187,229,1638,752,,,,
2020,MG,3106200,Grupo 2,339,4,,0,26,,,,,343,16,1701,662,2027,5396,7423,7.0,217,241,551,6326,2884,,,,
2020,MS,5002704,Grupo 2,172,7,3,3,8,,,,,182,16,1159,696,214,1859,2073,4.0,196,145,341,1123,529,,,,
2020,RJ,3304557,Grupo 2,957,33,15,9,415,,,,,1420,18,11741,1481,12333,6027,18360,29.0,,,142,1607,2217,,,,
2020,RN,2408102,Grupo 2,223,15,7,5,50,,,,,245,2,553,195,2547,316,2863,20.0,74,142,216,481,175,,,,
2020,RS,4314902,Grupo 2,278,10,5,0,13,,,,,306,10,3015,512,3343,1874,5217,4.0,260,236,496,2441,1439,,,,
2020,SP,3550308,Grupo 2,709,46,32,25,390,,,,,1177,40,9572,2318,13965,27035,41000,33.0,,931,931,7352,1478,,,,
2020,TO,1721000,Grupo 2,91,4,2,0,6,,,,,103,0,350,128,152,430,582,5.0,9,33,42,221,58,,,,
2020,AC,1200401,Grupo 3,176,7,1,1,16,,,,,184,7,707,184,798,270,1068,8.0,,,44,88,19,,,,
2020,AM,1302603,Grupo 3,657,33,15,4,78,,,,,783,13,1889,690,1884,1882,3766,9.0,329,203,532,1979,447,,,,
2020,AP,1600303,Grupo 3,151,4,13,0,79,,,,,247,4,453,282,186,206,392,31.0,,,,447,106,,,,
2020,RO,1100205,Grupo 3,141,7,10,2,3,,,,,161,5,1278,285,,,2571,1.0,99,276,375,545,178,,,,
2020,RR,1400100,Grupo 3,100,13,4,1,16,,,,,133,5,472,275,292,543,835,12.0,,,25,333,146,,,,
2021,AL,2704302,Grupo 1,304,2,1,1,4,,,,,307,7,628,287,390,804,1194,1.0,175,301,476,1157,77,,,,
2021,CE,2304400,Grupo 1,871,19,5,2,32,,,,,927,5,78,547,4158,2313,6471,3.0,131,393,524,2498,749,,,,
